plot,lat_x,long_y
20,-22.21502106,-47.59199846
90,-22.35734708,-47.56312814
206,-22.330099,-47.557035
56,-22.33904572,-47.57296578
64,-22.3460252,-47.57490316
207,-22.288948,-47.623007
22,-22.219011,-47.593866
84,-22.35523472,-47.55905628
87,-22.35737546,-47.56465402
88,-22.35667317,-47.56465656
