mes-de-seq,especie ,amostra,tag,total_no_reads,threshold,OTU,no_reads_OTU,fate,family,genus ,species,notes,,,,,,,,,,
novembro,Antilophia galeata,410,C,25904,13,P02_C_02,5,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,412,D,25904,13,P02_D_01,242,1,Meliaceae,Trichillia,pallida,,,,,,,,,,,
novembro,Antilophia galeata,412,D,25904,13,P02_D_02,6,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,412,D,25904,13,P02_D_03,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,255,E,25904,13,P02_E_01,201,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Antilophia galeata,268,H,25904,13,P02_H_01,18,1,Myrtaceae,Psidium,,leave at family level,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_01,177,1,Malvaceae,Luehea,,,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_02,70,1,Sapindaceae,Serjania/Paullinia,,Serjania or Paullinia,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_03,58,1,Fabaceae,Leucaena,leucocephala,,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_04,15,0,Euphorbiaceae,,,,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_05,7,0,,,,,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_06,9,0,,,,,,,,,,,,,,
novembro,Thlypopsis sordida,473,A,43495,22,P03_A_07,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_01,19259,1,Asteraceae,Tilesia,baccata ,"Tilesia or Wollastonia, either way, introduced",,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_02,4900,1,Heliotropiaceae,Myriopus,,Tournefortia volubilis? https://www.colecionandofrutas.com.br/tournefortiarubicunda.htm Myriopus cf. rubicundus,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_03,2586,1,Sapindaceae,Serjania/Paullinia,,Serjania or Paullinia,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_04,480,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_05,486,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_06,235,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_07,313,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_08,82,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_09,324,2,Sapindaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_10,112,2,Boraginaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_11,153,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_12,49,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_13,43,2,Sapindaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_14,35,2,Boraginaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_15,38,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_16,45,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_17,47,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_18,18,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_19,31,2,Sapindaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_20,56,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_21,13,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_22,17,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_23,13,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_24,11,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_25,19,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_26,9,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_27,56,2,Boraginaceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_28,22,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_29,6,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_30,5,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_31,13,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_32,4,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_33,38,2,Asteraceae,,,<98% match with any organism,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_34,8,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_35,8,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_36,12,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_37,12,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_38,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_39,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_40,6,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_41,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_42,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_43,10,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_44,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_45,4,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_46,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_47,4,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_48,8,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_49,10,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_50,6,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_51,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_52,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_53,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_54,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_55,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_56,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_57,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_58,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_59,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_60,2,0,,,,,,,,,,,,,,
novembro,Manacus manacus,286,B,43495,22,P03_B_61,2,0,,,,,,,,,,,,,,
novembro,Tangara cayana,179,C,43495,22,P03_C_01,135,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Tangara cayana,179,C,43495,22,P03_C_02,2,0,,,,,,,,,,,,,,
novembro,Tangara cayana,179,C,43495,22,P03_C_03,2,0,,,,,,,,,,,,,,
novembro,Eucometis penicillata,084,D,43495,22,P03_D_01,216,1,Salicaceae,Casearia,,,,,,,,,,,,
novembro,Antilophia galeata,195,E,43495,22,P03_E_01,74,1,Rosaceae,Rubus,,check seeds ,,,,,,,,,,
novembro,Antilophia galeata,195,E,43495,22,P03_E_02,2,0,,,,,,,,,,,,,,
novembro,Antilophia galeata,360,H,43495,22,P03_H_01,4,0,Myrtaceae,,,,,,,,,,,,,
novembro,Turdus leucomelas,422,A,30995,15,P04_A_01,395,1,Poaceae,Oryza,sativa,rice!,,,,,,,,,,
novembro,Turdus leucomelas,422,A,30995,15,P04_A_02,3,0,Fabaceae,,,,,,,,,,,,,
novembro,Turdus leucomelas,422,A,30995,15,P04_A_03,2,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_01,20305,1,Myrtaceae,Eugenia ,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_02,2449,1,Sapindaceae,Allophylus,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_03,2525,2,Myrtaceae,,,<98% similarity with any organism,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_04,53,2,Rutaceae,,,<98% similarity with any organism,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_05,5,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_06,5,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_07,32,2,Vochysiaceae,,,<98% similarity with any organism,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_08,14,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_09,2,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,201,B,30995,15,P04_B_10,2,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,073,C,30995,15,P04_C_01,49,1,Solanaceae,Cestrum,,,,,,,,,,,,
novembro,Turdus leucomelas,073,C,30995,15,P04_C_02,6,0,,,,,,,,,,,,,,
novembro,Turdus leucomelas,073,C,30995,15,P04_C_03,2,0,,,,,,,,,,,,,,
novembro,Pitangus sulphuratus,242,D,30995,15,P04_D_01,376,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Pitangus sulphuratus,242,D,30995,15,P04_D_02,3,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_01,93,1,Amaranthaceae,Chamissoa,,Chamissoa or Amaranthus,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_02,31,1,Piperaceae,Piper,amalago,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_03,18,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_04,9,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_05,8,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_06,7,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_07,2,0,,,,,,,,,,,,,,
novembro,Tachyphonus coronatus,419,E,30995,15,P04_E_08,2,0,,,,,,,,,,,,,,
novembro,Turdus amaurochalinus,181,H,30995,15,P04_H_01,56,1,Melastomataceae,Miconia,,,,,,,,,,,,
novembro,Turdus leucomelas,053,A,23036,11,P05_A_01,837,1,Salicaceae,Casearia,,,,,,,,,,,,
novembro,Turdus leucomelas,053,A,23036,11,P05_A_02,43,1,Lauraceae,Ocotea,,,,,,,,,,,,
novembro,Tachyphonus coronatus,070,B,23036,11,P05_B_01,18106,1,Salicaceae,Casearia ,,,,,,,,,,,,
