"","plant_genus","plant_family","no_samples","samples_list","bird_spp_list","sequenced","family","growth_form","origin","fruit_type","juliano"
"47","Mimosa","Fabaceae",1,"122","Eucometis penicillata",NA,NA,NA,NA,NA,NA
"48","Morus","Moraceae",4,"001, 027, 122, 477","Arremon flavirostris, Turdus leucomelas, Eucometis penicillata, Turdus amaurochalinus","Nov-2023","Moraceae","shrub","exotic","fleshy","esse genero é exótico, não há especies nativas"
"49","Myrcia","Myrtaceae",2,"087, 410","Chiroxiphia galeata","Jul-2024","Myrtaceae","tree","native","fleshy","esse genero não existe mais, é tudo Myrcia agora"
"50","Myrcianthes","Myrtaceae",1,"200","Turdus leucomelas",NA,NA,NA,NA,NA,NA
"51","Myriopus","Boraginaceae",1,"288","Manacus manacus","Nov-2023","Boraginaceae","climbing","native","fleshy","ok, mas caso vc tenha alguma análise em relação às famílias, tem que considerar que não é consenso que Heliotropiaceae é de fato uma família à parte. A APG IV de 2016 considera que na verdade essa família está dentro de Boraginaceae."
"52","Myriopus","Heliotropiaceae",1,"286","Manacus manacus","Nov-2023","Boraginaceae","climbing","native","fleshy","ok, mas caso vc tenha alguma análise em relação às famílias, tem que considerar que não é consenso que Heliotropiaceae é de fato uma família à parte. A APG IV de 2016 considera que na verdade essa família está dentro de Boraginaceae."
"53","Nicotiana","Solanaeceae",1,"099","Arremon flavirostris","Jul-2024","Solanaceae","herbaceous","native","dry","ok"
"54","Ocotea","Lauraceae",1,"053","Turdus leucomelas","Nov-2023","Lauraceae","tree","native","fleshy","ok"
"55","Oryza","Poaceae",1,"422","Turdus leucomelas","Nov-2023","Poaceae","herbaceous","exotic","dry","não é herbacea, é graminea (acho que grass ou graminoid são nomes corretos em ingles)"
"56","Pera","Peraceae",1,"178","Myiarchus ferox",NA,NA,NA,NA,NA,NA
"57","Piper","Piperaceae",3,"272, 322, 419","Tachyphonus coronatus, Ramphocelus carbo","Nov-2023","Piperaceae","shrub","native","fleshy","ok"
"58","Prockia","Salicaceae",1,"288","Manacus manacus",NA,NA,NA,NA,NA,NA
"59","Psidium","Myrtaceae",2,"244, 290","Pitangus sulphuratus, Chiroxiphia galeata","Nov-2023","Myrtaceae","tree","native","fleshy","ok, exceto se for goiaba, que não é nativa"
"60","Psychotria","Rubiaceae",2,"113, 381","Chiroxiphia galeata","Nov-2023","Rubiaceae","shrub","native","fleshy","ok"
"61","Pyrus","Rosaceae<U+00A0>",1,"093","Thraupis sayaca",NA,NA,NA,NA,NA,NA
"62","Rhamnidium","Rhamnaceae",3,"122, 141, 309","Eucometis penicillata, Cnemotriccus fuscatus, Leptopogon amaurocephalus",NA,NA,NA,NA,NA,NA
"63","Rubus","Rosaceae",1,"195","Chiroxiphia galeata","Nov-2023","Rosaceae","climbing","native","fleshy","eu diria que é vine/liana, não shrub"
"64","Ruellia","Acanthaceae",2,"001, 004","Arremon flavirostris",NA,NA,NA,NA,NA,NA
"65","Sarracenia","Sarraceniaceae",1,"029","Thlypopsis sordida",NA,NA,NA,NA,NA,NA
"66","Schinus","Anacardiaceae",1,"330","Turdus leucomelas",NA,NA,NA,NA,NA,NA
"67","Senna","Fabaceae",1,"257","Turdus leucomelas","Jul-2024","Fabaceae","tree","native","dry","ok"
"68","Serjania/Paullinia","Sapindaceae",8,"029, 099, 286, 288, 308, 322, 447, 473","Thlypopsis sordida, Arremon flavirostris, Manacus manacus, Turdus leucomelas, Ramphocelus carbo, Chiroxiphia galeata","Nov-2023","Sapindaceae","climbing","native","fleshy","são lianas, não vines"
"69","Siparuna","Siparunaceae",1,"297","Chiroxiphia galeata","Nov-2023","Siparunaceae","shrub","native","dry","ok"
"70","Solanum","Solanaceae",3,"136, 321, 447","Myiarchus ferox, Ramphocelus carbo, Chiroxiphia galeata","Jul-2024","Solanaceae","herbaceous","native","fleshy","provavelmente é um solanum mesmo, pq tem muitas espécies la nas suas areas. Mas solanum pode ser herbácea, arbusto ou arbóreo kkkkk"
"71","Solanum","Solanaeceae",1,"103","Ramphocelus carbo","Jul-2024","Solanaceae","herbaceous","native","fleshy","provavelmente é um solanum mesmo, pq tem muitas espécies la nas suas areas. Mas solanum pode ser herbácea, arbusto ou arbóreo kkkkk"
"72","Stylogyne","Primulaceae",1,"482","Chiroxiphia galeata","Jul-2024","Primulaceae","shrub","native","fleshy","ok"
"73","Syagrus","Arecaceae",1,"481","Turdus leucomelas","Jul-2024","Arecaceae","tree","native","fleshy","ok"
"74","Syzygium","Myrtaceae",3,"029, 220, 257","Thlypopsis sordida, Thraupis sayaca, Turdus leucomelas","Jul-2024","Myrtaceae","tree","exotic","fleshy","é exótico invasor mesmo"
"75","Terminalia","Combretaceae",1,"043","Cnemotriccus fuscatus","Jul-2024","Combretaceae","tree","native","dry","ok"
"76","Tilesia","Asteraceae",1,"286","Manacus manacus","Nov-2023","Asteraceae","herbaceous","exotic","fleshy","não há evidencias claras de que Tilesia seja exótica, mas o reflora aponta que sim. Então fica a seu critério"
"77","Trema","Cannabaceae",1,"287","Manacus manacus","Jul-2024","Cannabaceae","tree","native","fleshy","ok"
"78","Trichilia","Meliaceae",2,"043, 412","Cnemotriccus fuscatus, Chiroxiphia galeata",NA,NA,NA,NA,NA,NA
"79","Zanthoxylum","Rutaceae",1,"004","Arremon flavirostris",NA,NA,NA,NA,NA,NA
